Suburb,Price,Date
Abbotsford,1480000.0,3/12/2016
Abbotsford,1035000.0,4/2/2016
Abbotsford,1465000.0,4/3/2017
Abbotsford,850000.0,4/3/2017
Abbotsford,1600000.0,4/6/2016
Abbotsford,941000.0,7/5/2016
Abbotsford,1876000.0,7/5/2016
Abbotsford,1636000.0,8/10/2016
Abbotsford,300000.0,8/10/2016
Abbotsford,1097000.0,8/10/2016
Abbotsford,700000.0,12/11/2016
Abbotsford,1350000.0,12/11/2016
Abbotsford,750000.0,12/11/2016
Abbotsford,1172500.0,13/08/2016
Abbotsford,441000.0,14/05/2016
Abbotsford,1310000.0,15/10/2016
Abbotsford,1200000.0,16/07/2016
Abbotsford,1176500.0,16/07/2016
Abbotsford,955000.0,17/09/2016
Abbotsford,890000.0,17/09/2016
Abbotsford,1330000.0,18/03/2017
Abbotsford,900000.0,18/03/2017
Abbotsford,1090000.0,18/03/2017
Abbotsford,500000.0,18/06/2016
Abbotsford,1100000.0,18/06/2016
Abbotsford,1315000.0,19/11/2016
Abbotsford,426000.0,22/08/2016
Abbotsford,1447500.0,22/08/2016
Abbotsford,457000.0,22/08/2016
Abbotsford,1135000.0,22/08/2016
Abbotsford,1542000.0,24/09/2016
Abbotsford,1290000.0,25/02/2017
Abbotsford,1290000.0,25/02/2017
Abbotsford,470000.0,26/07/2016
Abbotsford,1180000.0,27/11/2016
Abbotsford,1195000.0,27/11/2016
Abbotsford,1012500.0,28/05/2016
Abbotsford,1030000.0,30/07/2016
Airport West,840000.0,3/9/2016
Airport West,730000.0,3/12/2016
Airport West,770000.0,4/3/2017
Airport West,603000.0,4/3/2017
Airport West,700000.0,4/3/2017
Airport West,600000.0,4/3/2017
Airport West,500000.0,4/3/2017
Airport West,720000.0,6/8/2016
Airport West,785000.0,6/8/2016
Airport West,725000.0,7/5/2016
Airport West,450000.0,7/5/2016
Airport West,515000.0,7/11/2016
Airport West,530000.0,10/9/2016
Airport West,895000.0,10/9/2016
Airport West,805000.0,10/12/2016
Airport West,752000.0,11/2/2017
Airport West,440000.0,13/08/2016
Airport West,755000.0,14/05/2016
Airport West,700000.0,15/10/2016
Airport West,830000.0,16/04/2016
Airport West,462500.0,16/07/2016
Airport West,670000.0,16/07/2016
Airport West,675000.0,16/07/2016
Airport West,1042000.0,16/07/2016
Airport West,910000.0,17/09/2016
Airport West,773000.0,17/09/2016
Airport West,810000.0,18/03/2017
Airport West,715000.0,18/03/2017
Airport West,790000.0,18/03/2017
Airport West,540000.0,18/06/2016
Airport West,825000.0,19/11/2016
Airport West,685000.0,22/05/2016
Airport West,805000.0,22/08/2016
Airport West,510000.0,22/08/2016
Airport West,612000.0,22/08/2016
Airport West,662000.0,23/04/2016
Airport West,978000.0,24/09/2016
Airport West,720000.0,25/02/2017
Airport West,765000.0,27/11/2016
Airport West,900000.0,27/11/2016
Albert Park,1275000.0,3/9/2016
Albert Park,1455000.0,3/9/2016
Albert Park,2850000.0,4/3/2017
Albert Park,1850000.0,4/3/2017
Albert Park,1436000.0,4/3/2017
Albert Park,1110000.0,6/8/2016
Albert Park,1550000.0,7/5/2016
Albert Park,2300000.0,7/5/2016
Albert Park,1550000.0,7/11/2016
Albert Park,1800000.0,7/11/2016
Albert Park,2120000.0,10/9/2016
Albert Park,1800000.0,10/9/2016
Albert Park,1800000.0,10/9/2016
Albert Park,1810000.0,10/12/2016
Albert Park,2615000.0,10/12/2016
Albert Park,2100000.0,10/12/2016
Albert Park,1300000.0,10/12/2016
Albert Park,1370000.0,12/6/2016
Albert Park,1000000.0,12/11/2016
Albert Park,2575000.0,15/10/2016
Albert Park,1322500.0,15/10/2016
Albert Park,1562500.0,15/10/2016
Albert Park,2000000.0,16/04/2016
Albert Park,1900000.0,18/03/2017
Albert Park,3010000.0,18/03/2017
Albert Park,2800000.0,18/06/2016
Albert Park,647000.0,22/05/2016
Albert Park,2100000.0,23/04/2016
Albert Park,2000000.0,24/09/2016
Albert Park,442500.0,25/02/2017
Albert Park,4735000.0,25/02/2017
Albert Park,1340000.0,25/02/2017
Albert Park,1801000.0,25/02/2017
Albert Park,1532000.0,26/07/2016
Albert Park,3755000.0,26/07/2016
Albert Park,2140000.0,27/06/2016
Albert Park,1750000.0,27/11/2016
Albert Park,980000.0,28/05/2016
Albert Park,2030000.0,28/08/2016
Albert Park,1740000.0,28/08/2016
Albert Park,2800000.0,30/07/2016
Albert Park,985000.0,30/07/2016
Alphington,2000000.0,3/9/2016
Alphington,1110000.0,3/9/2016
Alphington,1492000.0,4/3/2017
Alphington,1717500.0,8/10/2016
Alphington,2840000.0,12/6/2016
Alphington,525500.0,12/11/2016
Alphington,805000.0,12/11/2016
Alphington,465000.0,12/11/2016
Alphington,2000000.0,15/10/2016
Alphington,1540000.0,16/04/2016
Alphington,820000.0,18/03/2017
Alphington,1830000.0,19/11/2016
Alphington,2100000.0,19/11/2016
Alphington,865000.0,22/05/2016
Alphington,390000.0,22/05/2016
Alphington,650000.0,24/09/2016
Alphington,512000.0,25/02/2017
Alphington,1165000.0,27/06/2016
Alphington,1900000.0,27/11/2016
Alphington,1485000.0,28/08/2016
Alphington,1950000.0,30/07/2016
Altona,520000.0,3/9/2016
Altona,1525000.0,3/12/2016
Altona,720000.0,4/2/2016
Altona,1120000.0,4/3/2017
Altona,780000.0,4/6/2016
Altona,1780000.0,4/6/2016
Altona,630000.0,6/8/2016
Altona,406000.0,6/8/2016
Altona,660000.0,7/5/2016
Altona,683500.0,7/11/2016
Altona,580000.0,8/10/2016
Altona,1335000.0,8/10/2016
Altona,800000.0,8/10/2016
Altona,510000.0,10/9/2016
Altona,1070000.0,10/9/2016
Altona,425000.0,10/9/2016
Altona,605000.0,10/12/2016
Altona,705000.0,11/2/2017
Altona,391000.0,11/2/2017
Altona,440000.0,11/2/2017
Altona,845000.0,11/2/2017
Altona,743000.0,12/11/2016
Altona,730000.0,13/08/2016
Altona,635000.0,14/05/2016
Altona,620000.0,14/05/2016
Altona,447000.0,15/10/2016
Altona,730000.0,16/04/2016
Altona,678000.0,16/04/2016
Altona,580000.0,16/07/2016
Altona,712000.0,17/09/2016
Altona,840000.0,18/03/2017
Altona,980000.0,19/11/2016
Altona,605100.0,22/05/2016
Altona,880000.0,22/08/2016
Altona,577000.0,23/04/2016
Altona,1030000.0,25/02/2017
Altona,605000.0,25/02/2017
Altona,753000.0,27/06/2016
Altona,857000.0,27/11/2016
Altona,1500000.0,28/05/2016
Altona,730000.0,28/05/2016
Altona,900000.0,28/05/2016
Altona,740000.0,28/08/2016
Altona,931000.0,28/08/2016
Altona,535600.0,30/07/2016
Altona North,1085000.0,3/9/2016
Altona North,781000.0,3/9/2016
Altona North,750000.0,4/3/2017
Altona North,421000.0,4/3/2017
Altona North,1405000.0,4/3/2017
Altona North,683000.0,4/6/2016
Altona North,623000.0,4/6/2016
Altona North,720000.0,6/8/2016
Altona North,588000.0,7/5/2016
Altona North,710000.0,7/11/2016
Altona North,875000.0,8/10/2016
Altona North,700000.0,10/12/2016
Altona North,640000.0,11/3/2017
Altona North,650000.0,12/6/2016
