Suburb,Address,Rooms,Type,Price,SellerG,Date,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Hillside,22 Hillcrest Dr,6,h,935K,Prof.,17/06/2017,3037,6,4,2,694,,,Melton,-37.68178,144.73779,Western Metropolitan,5556
Taylors Lakes,18 Whiteley Pde,4,h,715K,Barry,17/06/2017,3038,4,3,2,679,,,Brimbank,-37.68903,144.77226,Western Metropolitan,5336
East Melbourne,496 Victoria Pde,4,h,1475K,Frank,18/06/2016,3002,2,1,1,179,,,Melbourne,-37.8099,144.9879,Northern Metropolitan,3040
Keilor East,32 Wyong St,3,h,825K,Nelson,10/12/16,3033,3,3,1,318,,,Moonee Valley,-37.7338,144.8662,Western Metropolitan,5629
Burwood,13 Elizabeth St,3,h,1325K,Buxton,24/06/2017,3125,3,1,1,756,,,Monash,-37.85683,145.09635,Southern Metropolitan,5678
Brunswick East,6 Kingfisher Gdns,3,t,940K,Nelson,4/3/17,3057,3,1,2,213,116,1995,Moreland,-37.7643,144.9808,Northern Metropolitan,5533
Toorak,1A Boandyne Ct,2,h,3260K,Marshall,25/02/2017,3142,2,2,2,334,,,Stonnington,-37.8361,145.023,Southern Metropolitan,7217
Moorabbin,2/1 Perry St,3,t,785K,Ray,16/04/2016,3189,3,2,2,169,,,Kingston,-37.9385,145.0397,Southern Metropolitan,2555
Altona,3/26 Grieve Pde,2,u,510K,Village,10/9/16,3018,2,1,1,127,76,1990,Hobsons Bay,-37.8686,144.8182,Western Metropolitan,5301
Templestowe Lower,1/6 Union St,2,t,731K,Jellis,22/07/2017,3107,2,1,1,217,115,2005,Manningham,-37.75671,145.11401,Eastern Metropolitan,5420
Bentleigh,2/7 Gordon St,2,u,855K,hockingstuart,12/11/16,3204,2,2,3,226,475,2005,Glen Eira,-37.9274,145.031,Southern Metropolitan,6795
Reservoir,8 Willoughby St,3,h,650K,hockingstuart,16/04/2016,3073,3,1,2,468,92,1960,Darebin,-37.7184,144.9962,Northern Metropolitan,21650
Bentleigh East,1/4 Daphne St,3,t,787500,Hodges,28/05/2016,3165,3,2,1,300,,,Glen Eira,-37.9189,145.0584,Southern Metropolitan,10969
Mont Albert,1/11 Rowland St,3,t,1580K,Marshall,16/09/2017,3127,3,2,2,1153,,,,-37.82055,145.11169,Eastern Metropolitan,2079
Jacana,14 Gavin St,3,h,605K,YPA,23/09/2017,3047,3,1,0,593,,,,-37.68775,144.90942,Northern Metropolitan,851
Thornbury,22 Gooch St,3,h,1235K,Jellis,16/04/2016,3071,3,3,1,288,133,1920,Darebin,-37.7583,145.0025,Northern Metropolitan,8870
Hampton East,29 Wickham Rd,3,h,1300K,Buxton,28/05/2016,3188,3,2,2,586,150,1950,Bayside,-37.9431,145.0274,Southern Metropolitan,2356
Brunswick West,8/7 Passfield St,2,u,521500,Peter,3/9/16,3055,2,1,1,0,69,1960,Moreland,-37.768,144.9408,Northern Metropolitan,7082
Mont Albert,6 Serpentine St,5,h,1815K,Jellis,19/11/2016,3127,5,1,0,711,207,1950,Whitehorse,-37.8195,145.1134,Eastern Metropolitan,2079
Sunshine,146 Cornwall Rd,3,h,590K,Douglas,16/07/2016,3020,3,1,1,438,,,Brimbank,-37.7804,144.8425,Western Metropolitan,3755
Ascot Vale,3/28 Ormond Rd,2,u,432K,Biggin,15/10/2016,3032,2,1,1,0,62,1978,Moonee Valley,-37.773,144.9303,Western Metropolitan,6567
Richmond,35 Shelley St,2,h,905K,Biggin,15/10/2016,3121,2,1,0,139,54,1920,Yarra,-37.8118,144.9937,Northern Metropolitan,14949
Bentleigh,8 Plym St,4,h,1107K,Woodards,22/04/2017,3204,4,2,2,478,,,Glen Eira,-37.9321,145.0361,Southern Metropolitan,6795
Fawkner,29 Jennifer St,3,h,741K,Peter,8/4/17,3060,3,1,3,578,128,1960,Moreland,-37.6966,144.9695,Northern Metropolitan,5070
Oak Park,11 Xavier St,5,h,1306K,Eview,20/05/2017,3046,5,3,3,700,,,Moreland,-37.7206,144.9194,Northern Metropolitan,2651
Essendon,27 Miller St,3,h,1320K,Rendina,3/6/17,3040,3,2,1,276,149,1910,Moonee Valley,-37.75126,144.89558,Western Metropolitan,9264
Oakleigh South,47 Washington Dr,3,h,945K,Woodards,3/6/17,3167,3,1,2,640,,,Kingston,-37.93646,145.08728,South-Eastern Metropolitan,3692
Hawthorn,2/2 Kooyongkoot Rd,3,t,1400K,Jellis,12/11/16,3122,3,2,2,299,,1960,Boroondara,-37.8299,145.0387,Southern Metropolitan,11308
Wheelers Hill,17 Plato Cr,3,h,1025K,Buxton,23/09/2017,3150,3,1,2,691,,,,-37.90823,145.16173,South-Eastern Metropolitan,7392
Reservoir,3/76 Southernhay St,2,t,668500,Nelson,1/7/17,3073,2,2,1,138,104.63,2014,Darebin,-37.72487,145.00705,Northern Metropolitan,21650
Keilor East,3 Pennington St,3,h,941K,Harcourts,13/05/2017,3033,3,1,1,703,111,1965,Moonee Valley,-37.746,144.8651,Western Metropolitan,5629
Balwyn North,113 Maud St,4,h,2614K,Fletchers,4/3/17,3104,4,2,2,772,150,1955,Boroondara,-37.7959,145.0787,Southern Metropolitan,7809
Hampton,64 Earlsfield Rd,4,h,1460K,Buxton,27/06/2016,3188,4,3,2,562,228,1950,Bayside,-37.9369,145.0163,Southern Metropolitan,5454
Lalor,11 Bruce St,3,h,638K,Harcourts,17/06/2017,3075,3,1,2,679,130,1965,Whittlesea,-37.67304,145.03397,Northern Metropolitan,8279
Oakleigh South,16 Alleford St,3,h,875K,Buxton,4/3/17,3167,3,2,1,258,105,1999,Monash,-37.9156,145.0879,South-Eastern Metropolitan,3692
Maribyrnong,33 Newstead St,3,h,1320K,Nelson,10/9/16,3032,3,2,2,645,211,1900,Maribyrnong,-37.7662,144.8971,Western Metropolitan,4918
Scoresby,17 Walsh Av,4,h,1120K,Noel,22/07/2017,3179,4,2,2,960,179,1985,Knox,-37.88992,145.22123,Eastern Metropolitan,2206
Airport West,4/54 Hawker St,2,u,462500,Barry,16/07/2016,3042,2,1,1,164,,2003,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464
Heidelberg West,7/459 Waterdale Rd,2,u,463K,hockingstuart,12/8/17,3081,2,1,1,90,,,Banyule,-37.74391,145.04669,Eastern Metropolitan,2674
Airport West,36 Roberts Rd,4,h,785K,Considine,6/8/16,3042,3,1,2,597,127,,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464
South Yarra,9/372 Toorak Rd,1,u,411K,hockingstuart,8/10/16,3141,1,1,1,1369,,,Stonnington,-37.8405,145.0025,Southern Metropolitan,14887
Sandringham,2 Trentham St,5,h,2220K,Buxton,9/9/17,3191,5,3,1,545,,,,-37.94953,145.00607,Southern Metropolitan,4497
Port Melbourne,32 Page Av,4,h,1631K,Marshall,9/9/17,3207,4,3,2,362,,,,-37.83467,144.92775,Southern Metropolitan,8648
Beaumaris,6 Monaco Cr,3,h,1500K,Charlton,29/07/2017,3193,3,2,2,594,,,Bayside,-37.97383,145.04525,Southern Metropolitan,5366
Bentleigh,1/7 Uonga Rd,2,u,820K,hockingstuart,19/11/2016,3204,2,1,3,336,109,1960,Glen Eira,-37.929,145.0375,Southern Metropolitan,6795
Croydon,9 Columbia Av,5,h,1188K,hockingstuart,26/08/2017,3136,5,2,2,864,294,1980,,-37.79546,145.27002,Eastern Metropolitan,11925
Gowanbrae,1 Gowanbrae Dr,3,h,631K,Nelson,3/9/16,3043,3,2,2,608,138,2001,Moreland,-37.709,144.8925,Western Metropolitan,1071
Hampton,35 Teddington Rd,3,h,1715K,Buxton,4/3/17,3188,3,1,2,765,,,Bayside,-37.9358,145.018,Southern Metropolitan,5454
Toorak,9/28 Power St,2,u,690K,Prowse,25/02/2017,3142,2,1,1,0,83,1960,Stonnington,-37.8416,145.0313,Southern Metropolitan,7217
Camberwell,4 Lynden St,3,h,1830K,Ham,22/07/2017,3124,3,2,4,605,,,Boroondara,-37.83856,145.08602,Southern Metropolitan,8920
Thornbury,53 Keon St,4,h,1626K,Jellis,3/6/17,3071,4,1,2,495,120,1925,Darebin,-37.75231,144.99023,Northern Metropolitan,8870
Port Melbourne,360 Howe Pde,3,h,1230K,RT,19/08/2017,3207,3,1,0,340,,,,-37.83674,144.9242,Southern Metropolitan,8648
Reservoir,2/89 Purinuan Rd,2,t,350K,Nelson,11/2/17,3073,2,1,1,0,72,2016,Darebin,-37.7091,145.0255,Northern Metropolitan,21650
Bentleigh,33 Luckins Rd,3,h,1328K,Woodards,15/10/2016,3204,3,2,2,690,245,1970,Glen Eira,-37.9317,145.0469,Southern Metropolitan,6795
Carnegie,14 Margaret St,2,h,1300K,hockingstuart,27/11/2016,3163,2,1,1,640,,1900,Glen Eira,-37.891,145.0636,Southern Metropolitan,7822
Pascoe Vale,1 Ann St,4,h,1260K,Eview,26/08/2017,3044,4,2,4,578,171,1920,,-37.73058,144.9353,Northern Metropolitan,7485
Port Melbourne,1/3 Liardet St,2,u,670K,Biggin,22/08/2016,3207,2,1,1,0,71,2006,Port Phillip,-37.8424,144.9449,Southern Metropolitan,8648
Templestowe Lower,11 Corroboree Pl,4,h,1257K,Barry,4/3/17,3107,4,3,2,706,,,Manningham,-37.7597,145.1058,Eastern Metropolitan,5420
Yallambie,34 Aminya Cr,4,h,743500,Buckingham,8/7/17,3085,4,2,4,600,,,Banyule,-37.72788,145.10456,Northern Metropolitan,1369
Brighton,23a Chelsea St,3,u,1352500,hockingstuart,28/08/2016,3186,2,2,1,280,110,1993,Bayside,-37.91,144.989,Southern Metropolitan,10579
Camberwell,15 Hollsmoor Rd,4,h,2228K,Jellis,18/03/2017,3124,4,2,2,813,163,1960,Boroondara,-37.8405,145.0903,Southern Metropolitan,8920
Essendon West,10 Beryl St,3,h,1390K,Nelson,24/06/2017,3040,3,1,2,793,,,Moonee Valley,-37.74944,144.88479,Western Metropolitan,588
Northcote,120 Darebin Rd,3,h,1610K,Nelson,29/07/2017,3070,3,1,4,693,,,Darebin,-37.76433,145.00813,Northern Metropolitan,11364
Moonee Ponds,106/26 Shuter St,3,u,565K,Jellis,10/9/16,3039,2,2,1,0,115,2001,Moonee Valley,-37.7672,144.9209,Western Metropolitan,6232
Reservoir,119 Boldrewood Pde,3,h,930K,Barry,16/09/2017,3073,3,1,2,735,,,,-37.71491,145.02191,Northern Metropolitan,21650
Mount Waverley,3 Wortley Av,4,h,1640K,Barry,29/07/2017,3149,4,2,2,811,,,Monash,-37.85858,145.12053,Eastern Metropolitan,13366
Balwyn North,14 Wanbrow Av,5,h,1950K,RT,3/9/17,3104,5,3,2,743,0,1949,,-37.80235,145.09311,Southern Metropolitan,7809
South Yarra,65 Caroline St,3,t,3475K,Marshall,20/05/2017,3141,3,3,1,296,,,Stonnington,-37.8366,144.9882,Southern Metropolitan,14887
Sunbury,18 Timins St,3,h,650K,YPA,1/7/17,3429,3,3,1,852,,1960,Hume,-37.58689,144.72865,Western Metropolitan,14092
Pascoe Vale,130 Essex St,3,h,960K,Brad,28/08/2016,3044,3,2,2,501,501,1960,Moreland,-37.7258,144.9347,Northern Metropolitan,7485
Bentleigh East,2/40 Francesco St,3,t,970K,Matthew,18/03/2017,3165,3,2,2,267,156,2000,Glen Eira,-37.9176,145.0566,Southern Metropolitan,10969
North Melbourne,31 Cobden St,3,h,1425K,Nelson,3/9/17,3051,3,1,3,163,,,,-37.80452,144.95718,Northern Metropolitan,6821
Eaglemont,2/84 The Righi,3,u,1190K,Miles,27/11/2016,3084,3,2,2,0,148,1975,Banyule,-37.7623,145.0569,Eastern Metropolitan,1651
Bentleigh East,7 Wallace St,3,h,1355K,Buxton,8/10/16,3165,0,1,2,818,,,Glen Eira,-37.9241,145.0539,Southern Metropolitan,10969
St Kilda,5/18 Marine Pde,2,u,602K,Wilson,3/12/16,3182,2,1,0,0,66,1930,Port Phillip,-37.8707,144.9765,Southern Metropolitan,13240
Altona,24 Wren St,4,h,845K,hockingstuart,11/2/17,3018,4,1,2,745,130,1950,Hobsons Bay,-37.8658,144.8155,Western Metropolitan,5301
Noble Park,38 Dunblane Rd,3,h,695K,Barry,29/07/2017,3174,3,1,1,671,142,1950,Greater Dandenong,-37.962,145.18035,South-Eastern Metropolitan,11806
Brighton East,11 Summerhill Rd,2,h,1813K,Buxton,27/11/2016,3187,2,1,2,660,117,1930,Bayside,-37.9179,145.0127,Southern Metropolitan,6938
Abbotsford,42 Valiant St,2,h,890K,Biggin,17/09/2016,3067,2,1,1,150,73,1985,Yarra,-37.8011,145.0004,Northern Metropolitan,4019
Footscray,53 Ryan St,2,h,1170K,Sweeney,15/10/2016,3011,2,1,1,184,103,1900,Maribyrnong,-37.7988,144.902,Western Metropolitan,7570
Fitzroy,3/18 Hanover St,3,h,1252K,Nelson,3/9/16,3065,3,2,2,0,137,2004,Yarra,-37.8029,144.975,Northern Metropolitan,5825
Yarraville,18 Tenterden St,3,h,845K,Jas,27/11/2016,3013,3,1,2,494,,,Maribyrnong,-37.8234,144.8742,Western Metropolitan,6543
South Melbourne,206 Montague St,2,h,1355K,Marshall,9/9/17,3205,2,1,0,109,78,1900,,-37.83423,144.95243,Southern Metropolitan,5943
St Kilda,32/10 Acland St,1,u,380K,Whiting,4/6/16,3182,1,1,1,2879,49,1967,Port Phillip,-37.863,144.9747,Southern Metropolitan,13240
South Yarra,403/700 Chapel St,2,u,865K,Williams,8/10/16,3141,2,2,1,0,,2000,Stonnington,-37.8361,144.9966,Southern Metropolitan,14887
Ascot Vale,2 Farncomb St,3,h,801K,Jellis,12/11/16,3032,3,1,2,431,,1950,Moonee Valley,-37.781,144.9207,Western Metropolitan,6567
Williamstown,50 Thompson St,4,h,1630K,Greg,25/02/2017,3016,4,2,2,265,197,2010,Hobsons Bay,-37.8656,144.9039,Western Metropolitan,6380
Frankston,7 Orrong Av,3,h,1010K,Ray,9/9/17,3199,3,2,2,306,125,1970,,-38.1386,145.12142,South-Eastern Metropolitan,17055
Heidelberg West,21 Pacific Dr,3,h,710K,William,10/12/16,3081,3,1,1,594,107,,Banyule,-37.7385,145.0409,Eastern Metropolitan,2674
Mordialloc,1/6 Krone St,4,t,1170K,hockingstuart,3/6/17,3195,4,2,2,312,179,2004,Kingston,-38.002,145.08916,South-Eastern Metropolitan,3650
Ivanhoe,128 Bond St,5,h,1689K,Nelson,13/05/2017,3079,5,2,2,633,,,Banyule,-37.7615,145.0309,Eastern Metropolitan,5549
Riddells Creek,53 Bluegum Cct,4,h,817K,Raine,24/06/2017,3431,4,2,4,1459,272.4,2011,Macedon Ranges,-37.45709,144.68999,Northern Victoria,1475
Yarraville,43 Ballarat St,2,h,767K,Jas,25/02/2017,3013,2,1,0,128,80,1920,Maribyrnong,-37.8179,144.8908,Western Metropolitan,6543
Oakleigh South,2/232 Warrigal Rd,3,t,680K,Fletchers,3/9/16,3167,3,2,1,189,123,,Monash,-37.9122,145.0853,South-Eastern Metropolitan,3692
Williamstown,112 Crofton Dr,4,h,1330K,Williams,12/11/16,3016,4,3,2,217,266,2003,Hobsons Bay,-37.8634,144.8796,Western Metropolitan,6380
Brunswick,26 Warburton St,3,h,1340K,Nelson,27/11/2016,3056,3,1,1,316,132,1910,Moreland,-37.7741,144.9703,Northern Metropolitan,11918
Maribyrnong,4/47 Middle Rd,2,u,420K,Alexkarbon,25/02/2017,3032,2,1,1,0,68,1970,Maribyrnong,-37.7678,144.8899,Western Metropolitan,4918
Viewbank,178 Graham Rd,3,h,825K,Barry,24/06/2017,3084,3,1,0,658,,,Banyule,-37.73346,145.08359,Eastern Metropolitan,2698
Ashburton,51 Victory Bvd,2,h,1575K,Jellis,4/3/17,3147,2,1,2,679,,,Boroondara,-37.869,145.0822,Southern Metropolitan,3052
Elwood,1/48 Ormond Rd,2,u,1015K,McGrath,13/08/2016,3184,2,1,2,0,,2003,Port Phillip,-37.8844,144.9855,Southern Metropolitan,8989
